"month","count"
"2006-10","44"
"2006-12","1"
"2007-02","502"
"2007-03","1575"
"2007-04","1714"
"2007-05","1727"
"2007-06","1294"
"2007-07","1470"
"2007-08","2234"
"2007-09","2201"
"2007-10","2482"
"2007-11","2162"
"2007-12","2076"
"2008-01","3086"
"2008-02","3723"
"2008-03","4431"
"2008-04","4677"
"2008-05","4847"
"2008-06","4952"
"2008-07","5367"
"2008-08","4884"
"2008-09","4943"
"2008-10","5626"
"2008-11","4985"
"2008-12","4058"
"2009-01","1356"
"2009-02","5777"
"2009-03","6411"
"2009-04","6170"
"2009-05","5763"
"2009-06","5918"
"2009-07","3595"
"2009-08","5735"
"2009-09","7400"
"2009-10","7810"
"2009-11","7353"
"2009-12","7309"
"2010-01","8756"
"2010-02","9534"
"2010-03","9971"
"2010-04","9863"
"2010-05","10339"
"2010-06","9844"
"2010-07","5313"
"2010-08","10478"
"2010-09","10951"
"2010-10","11909"
"2010-11","12560"
"2010-12","13217"
"2011-01","14513"
"2011-02","13972"
"2011-03","16639"
"2011-04","14369"
"2011-05","7128"
"2011-06","14617"
"2011-07","14707"
"2011-08","16132"
"2011-09","15575"
"2011-10","16983"
"2011-11","15715"
"2011-12","15968"
"2012-01","18990"
"2012-02","17062"
"2012-03","19297"
"2012-04","18973"
"2012-05","19139"
"2012-06","17349"
"2012-07","17959"
"2012-08","18476"
"2012-09","16873"
"2012-10","18452"
"2012-11","18387"
"2012-12","17787"
"2013-01","20698"
"2013-02","20147"
"2013-03","21145"
"2013-04","14430"
"2013-05","20659"
"2013-06","20559"
"2013-07","20081"
"2013-08","14921"
"2013-09","19574"
"2013-10","21353"
"2013-11","20985"
"2013-12","18994"
"2014-01","20485"
"2014-02","19755"
"2014-03","21868"
"2014-04","20457"
"2014-05","19446"
"2014-06","15510"
"2014-07","15691"
"2014-08","17754"
"2014-09","19069"
"2014-10","20344"
"2014-11","18290"
"2014-12","17961"
"2015-01","20299"
"2015-02","19425"
"2015-03","21847"
"2015-04","21676"
"2015-05","20981"
"2015-06","20674"
"2015-07","20852"
"2015-08","19304"
"2015-09","20877"
"2015-10","23683"
"2015-11","20951"
"2015-12","20154"
"2016-01","22378"
"2016-02","23156"
"2016-03","23324"
"2016-04","22659"
"2016-05","22661"
"2016-06","21824"
"2016-07","20360"
"2016-08","22165"
"2016-09","17161"
"2016-10","22662"
"2016-11","22789"
"2016-12","22567"
"2017-01","23954"
"2017-02","22163"
"2017-03","25951"
"2017-04","22111"
"2017-05","23081"
"2017-06","22357"
"2017-07","21460"
"2017-08","22191"
"2017-09","17829"
"2017-10","19380"
"2017-11","19950"
"2017-12","19937"
"2018-01","18067"
"2018-02","20655"
"2018-03","23092"
"2018-04","21900"
"2018-05","22514"
"2018-06","21249"
"2018-07","20993"
"2018-08","22422"
"2018-09","20122"
"2018-10","22746"
"2018-11","21075"
"2018-12","20155"
"2019-01","23361"
"2019-02","22239"
"2019-03","23719"
"2019-04","23722"
"2019-05","24421"
"2019-06","23081"
"2019-07","23734"
"2019-08","24224"
"2019-09","23486"
"2019-10","25264"
"2019-11","23320"
"2019-12","23444"
"2020-01","26235"
"2020-02","24482"
"2020-03","28435"
"2020-04","28511"
"2020-05","26553"
"2020-06","28224"
"2020-07","27402"
"2020-08","25949"
"2020-09","24567"
"2020-10","25404"
"2020-11","24097"
"2020-12","25892"
"2021-01","24949"
"2021-02","22886"
"2021-03","25025"
"2021-04","23477"
"2021-05","23344"
"2021-06","23078"
"2021-07","21748"
"2021-08","22067"
"2021-09","21697"
"2021-10","22674"
"2021-11","19175"
"2021-12","21323"
"2022-01","24712"
"2022-02","18965"
"2022-03","24235"
"2022-04","21295"
"2022-05","22753"
"2022-06","22515"
"2022-07","22237"
"2022-08","23006"
"2022-09","22565"
"2022-10","23126"
"2022-11","25139"
"2022-12","23986"
"2023-01","25317"
"2023-02","22522"
"2023-03","26319"
"2023-04","24013"
"2023-05","25336"
"2023-06","24887"
"2023-07","24424"
"2023-08","25639"
"2023-09","24825"
"2023-10","24885"
"2023-11","24427"
"2023-12","23219"
"2024-01","23703"
"2024-02","21910"
"2024-03","24958"
"2024-04","23956"
"2024-05","24653"
"2024-06","22623"
"2024-07","22202"
"2024-08","22997"
"2024-09","22585"
"2024-10","9599"
