"score","count"
1,"1267462"
2,"959621"
3,"447302"
4,"208190"
5,"113948"
6,"73267"
7,"52891"
8,"40376"
9,"32419"
10,"26726"
11,"22940"
12,"19664"
13,"17346"
14,"15389"
15,"13666"
16,"12437"
17,"11565"
18,"10422"
19,"9836"
20,"9106"
21,"8209"
22,"7673"
23,"7387"
24,"7061"
25,"6915"
26,"6634"
27,"6592"
28,"6110"
29,"6029"
30,"5796"
31,"5746"
32,"5525"
33,"5511"
34,"5234"
35,"5132"
36,"5061"
37,"4831"
38,"4875"
39,"4730"
40,"4649"
41,"4450"
42,"4311"
43,"4365"
44,"4160"
45,"4108"
46,"3998"
47,"4040"
48,"3795"
49,"3834"
50,"3581"
51,"3335"
52,"3330"
53,"3315"
54,"3369"
55,"3311"
56,"3168"
57,"3251"
58,"3190"
59,"3160"
60,"2995"
61,"2902"
62,"2969"
63,"3027"
64,"2908"
65,"2750"
66,"2770"
67,"2721"
68,"2625"
69,"2583"
70,"2554"
71,"2541"
72,"2449"
73,"2481"
74,"2376"
75,"2274"
76,"2332"
77,"2317"
78,"2252"
79,"2234"
80,"2174"
81,"2178"
82,"2134"
83,"2079"
84,"2070"
85,"1974"
86,"2002"
87,"1950"
88,"1897"
89,"1922"
90,"1889"
91,"1958"
92,"1863"
93,"1807"
94,"1819"
95,"1847"
96,"1770"
97,"1675"
98,"1667"
99,"1650"
100,"1544"
101,"1583"
102,"1572"
103,"1537"
104,"1500"
105,"1495"
106,"1454"
107,"1486"
108,"1428"
109,"1476"
110,"1370"
111,"1368"
112,"1384"
113,"1377"
114,"1307"
115,"1350"
116,"1284"
117,"1256"
118,"1281"
119,"1280"
120,"1282"
121,"1233"
122,"1255"
123,"1260"
124,"1239"
125,"1290"
126,"1258"
127,"1185"
128,"1143"
129,"1137"
130,"1112"
131,"1158"
132,"1141"
133,"1090"
134,"1103"
135,"1073"
136,"1047"
137,"1068"
138,"1041"
139,"1057"
140,"1042"
141,"1014"
142,"1038"
143,"997"
144,"936"
145,"1002"
146,"936"
147,"932"
148,"976"
149,"922"
150,"895"
151,"881"
152,"934"
153,"904"
154,"878"
155,"883"
156,"837"
157,"827"
158,"860"
159,"838"
160,"870"
161,"836"
162,"783"
163,"748"
164,"783"
165,"746"
166,"768"
167,"770"
168,"772"
169,"744"
170,"776"
171,"750"
172,"707"
173,"712"
174,"724"
175,"706"
176,"674"
177,"658"
178,"701"
179,"673"
180,"662"
181,"694"
182,"654"
183,"672"
184,"637"
185,"650"
186,"621"
187,"606"
188,"599"
189,"656"
190,"605"
191,"607"
192,"633"
193,"594"
194,"553"
195,"584"
196,"570"
197,"598"
198,"548"
199,"558"
200,"573"
201,"525"
202,"490"
203,"521"
204,"514"
205,"545"
206,"520"
207,"520"
208,"499"
209,"506"
210,"489"
211,"457"
212,"507"
213,"507"
214,"480"
215,"466"
216,"486"
217,"469"
218,"484"
219,"444"
220,"460"
221,"457"
222,"464"
223,"449"
224,"445"
225,"428"
226,"433"
227,"405"
228,"369"
229,"433"
230,"437"
231,"416"
232,"374"
233,"427"
234,"422"
235,"420"
236,"355"
237,"428"
238,"403"
239,"378"
240,"382"
241,"383"
242,"382"
243,"391"
244,"382"
245,"374"
246,"345"
247,"344"
248,"381"
249,"355"
250,"332"
251,"338"
252,"337"
253,"345"
254,"340"
255,"322"
256,"331"
257,"328"
258,"286"
259,"308"
260,"300"
261,"308"
262,"334"
263,"294"
