"score","count"
1,"9024"
2,"6440"
3,"2500"
4,"951"
5,"422"
6,"236"
7,"195"
8,"142"
9,"117"
10,"112"
11,"105"
12,"84"
13,"66"
14,"71"
15,"51"
16,"49"
17,"46"
18,"37"
19,"47"
20,"38"
21,"35"
22,"39"
23,"34"
24,"30"
25,"25"
26,"36"
27,"39"
28,"40"
29,"25"
30,"25"
31,"31"
32,"38"
33,"25"
34,"24"
35,"31"
36,"22"
37,"27"
38,"19"
39,"22"
40,"28"
41,"27"
42,"26"
43,"23"
44,"16"
45,"27"
46,"26"
47,"17"
48,"26"
49,"21"
50,"17"
51,"25"
52,"19"
53,"22"
54,"20"
55,"16"
56,"25"
57,"18"
58,"21"
59,"21"
60,"21"
61,"20"
62,"16"
63,"13"
64,"9"
65,"10"
66,"15"
67,"14"
68,"13"
69,"19"
70,"9"
71,"19"
72,"12"
73,"8"
74,"14"
75,"19"
76,"17"
77,"10"
78,"14"
79,"8"
80,"15"
81,"16"
82,"9"
83,"18"
84,"12"
85,"13"
86,"13"
87,"10"
88,"10"
89,"11"
90,"10"
91,"11"
92,"15"
93,"13"
94,"6"
95,"15"
96,"9"
97,"7"
98,"8"
99,"7"
100,"15"
101,"5"
102,"7"
103,"6"
104,"11"
105,"5"
106,"11"
107,"8"
108,"16"
109,"9"
110,"7"
111,"7"
112,"12"
113,"10"
114,"4"
115,"8"
116,"5"
117,"5"
118,"7"
119,"7"
120,"8"
121,"11"
122,"9"
123,"6"
124,"5"
125,"6"
126,"8"
127,"5"
128,"6"
129,"9"
130,"5"
131,"6"
132,"10"
133,"3"
134,"10"
135,"4"
136,"5"
137,"4"
138,"8"
139,"6"
140,"8"
141,"8"
142,"3"
143,"5"
144,"2"
145,"2"
146,"6"
147,"8"
148,"5"
149,"5"
150,"3"
151,"6"
152,"7"
153,"1"
154,"4"
155,"8"
156,"1"
157,"5"
158,"1"
159,"7"
160,"8"
161,"4"
162,"7"
164,"3"
165,"2"
166,"3"
167,"2"
168,"5"
169,"2"
170,"3"
171,"4"
172,"2"
173,"3"
174,"5"
175,"4"
176,"4"
177,"4"
178,"6"
179,"4"
180,"2"
181,"2"
182,"3"
183,"5"
184,"1"
185,"6"
186,"2"
187,"3"
188,"1"
189,"4"
190,"1"
191,"3"
192,"2"
193,"4"
194,"1"
195,"7"
196,"3"
197,"6"
198,"5"
199,"1"
200,"1"
201,"2"
202,"3"
203,"2"
204,"1"
205,"1"
207,"1"
208,"2"
209,"4"
210,"4"
212,"3"
213,"5"
214,"2"
216,"3"
217,"2"
218,"1"
219,"3"
221,"3"
222,"3"
223,"5"
225,"3"
226,"3"
227,"2"
228,"1"
230,"1"
231,"2"
232,"3"
233,"2"
234,"1"
237,"2"
238,"3"
239,"5"
240,"1"
241,"3"
242,"3"
243,"3"
244,"2"
245,"4"
246,"2"
247,"1"
248,"1"
249,"2"
250,"1"
251,"4"
253,"2"
254,"1"
255,"4"
256,"1"
257,"1"
258,"1"
259,"2"
260,"1"
261,"1"
262,"2"
263,"2"
264,"2"
265,"2"
266,"1"
267,"3"
268,"1"
269,"1"
271,"1"
272,"3"
275,"5"
277,"1"
278,"2"
279,"1"
280,"4"
283,"1"
287,"2"
288,"1"
289,"2"
290,"2"
292,"1"
294,"3"
295,"1"
296,"1"
297,"5"
299,"2"
300,"1"
301,"5"
302,"1"
303,"2"
304,"3"
305,"1"
306,"1"
307,"1"
309,"2"
310,"2"
311,"1"
315,"1"
317,"1"
318,"1"
319,"1"
323,"1"
324,"1"
326,"1"
327,"1"
331,"1"
333,"4"
334,"1"
335,"2"
336,"1"
337,"1"
340,"1"
341,"1"
345,"1"
346,"1"
347,"1"
348,"1"
350,"1"
351,"1"
353,"2"
355,"1"
362,"1"
363,"2"
368,"1"
369,"1"
371,"1"
377,"1"
380,"1"
382,"1"
383,"1"
384,"1"
387,"1"
388,"2"
390,"1"
399,"1"
400,"2"
410,"1"
412,"1"
415,"1"
416,"1"
418,"2"
422,"1"
426,"1"
428,"1"
435,"1"
438,"1"
442,"1"
447,"2"
449,"1"
450,"1"
451,"1"
459,"2"
460,"2"
461,"1"
465,"1"
468,"1"
470,"3"
473,"1"
474,"1"
478,"1"
483,"1"
484,"1"
489,"1"
493,"1"
509,"1"
525,"1"
531,"1"
550,"1"
552,"1"
565,"1"
567,"1"
589,"1"
592,"1"
597,"1"
598,"1"
602,"1"
606,"1"
615,"1"
625,"1"
651,"1"
655,"1"
658,"1"
661,"1"
673,"1"
677,"1"
690,"1"
692,"1"
694,"1"
695,"2"
722,"1"
727,"1"
733,"1"
738,"1"
756,"2"
797,"1"
849,"1"
864,"1"
866,"1"
908,"1"
1099,"1"
1307,"1"
1336,"1"
