"score","count"
1,"11233"
2,"8605"
3,"3988"
4,"1584"
5,"689"
6,"349"
7,"255"
8,"206"
9,"148"
10,"112"
11,"104"
12,"88"
13,"76"
14,"68"
15,"58"
16,"54"
17,"41"
18,"41"
19,"52"
20,"49"
21,"52"
22,"31"
23,"33"
24,"32"
25,"31"
26,"33"
27,"29"
28,"22"
29,"31"
30,"26"
31,"24"
32,"28"
33,"25"
34,"21"
35,"26"
36,"17"
37,"17"
38,"27"
39,"19"
40,"26"
41,"21"
42,"27"
43,"17"
44,"17"
45,"27"
46,"24"
47,"16"
48,"22"
49,"17"
50,"19"
51,"12"
52,"18"
53,"26"
54,"23"
55,"18"
56,"15"
57,"21"
58,"13"
59,"18"
60,"6"
61,"19"
62,"15"
63,"12"
64,"14"
65,"20"
66,"12"
67,"15"
68,"13"
69,"14"
70,"14"
71,"19"
72,"17"
73,"15"
74,"14"
75,"17"
76,"8"
77,"15"
78,"12"
79,"12"
80,"10"
81,"10"
82,"9"
83,"8"
84,"14"
85,"13"
86,"13"
87,"9"
88,"7"
89,"10"
90,"7"
91,"7"
92,"8"
93,"13"
94,"13"
95,"5"
96,"12"
97,"13"
98,"8"
99,"9"
100,"11"
101,"10"
102,"8"
103,"4"
104,"10"
105,"4"
106,"6"
107,"13"
108,"8"
109,"7"
110,"6"
111,"5"
112,"9"
113,"6"
114,"10"
115,"5"
116,"4"
117,"12"
118,"8"
119,"3"
120,"6"
121,"5"
122,"8"
123,"8"
124,"4"
125,"8"
126,"6"
127,"4"
128,"8"
129,"3"
130,"7"
131,"4"
132,"3"
133,"11"
134,"9"
135,"2"
136,"7"
137,"3"
138,"5"
139,"9"
140,"4"
141,"6"
142,"4"
143,"3"
144,"6"
145,"5"
146,"1"
147,"2"
148,"7"
149,"2"
150,"2"
151,"3"
152,"5"
153,"3"
154,"3"
155,"5"
156,"3"
157,"3"
158,"7"
159,"3"
160,"4"
161,"2"
163,"3"
164,"6"
165,"3"
166,"4"
167,"6"
168,"1"
169,"1"
170,"6"
171,"4"
172,"2"
173,"4"
174,"3"
175,"5"
176,"4"
178,"3"
179,"4"
180,"3"
181,"2"
182,"3"
183,"4"
184,"1"
185,"4"
186,"1"
187,"4"
188,"7"
189,"2"
190,"3"
191,"2"
192,"3"
193,"2"
194,"1"
195,"1"
196,"5"
197,"2"
198,"3"
199,"1"
200,"3"
201,"3"
202,"2"
203,"2"
204,"2"
205,"2"
207,"3"
208,"4"
210,"3"
211,"2"
212,"4"
213,"1"
214,"1"
215,"2"
216,"2"
217,"2"
218,"1"
220,"3"
221,"2"
223,"2"
224,"3"
225,"4"
226,"1"
228,"4"
230,"1"
232,"2"
234,"2"
235,"4"
236,"3"
237,"4"
238,"1"
239,"1"
240,"1"
241,"2"
242,"2"
243,"3"
244,"2"
246,"1"
248,"2"
249,"1"
250,"1"
251,"2"
252,"3"
253,"1"
254,"3"
257,"2"
258,"2"
262,"1"
263,"2"
264,"1"
265,"1"
266,"1"
267,"1"
269,"2"
270,"2"
272,"1"
273,"1"
276,"1"
277,"2"
279,"1"
282,"2"
286,"2"
288,"1"
289,"1"
290,"1"
295,"2"
296,"1"
297,"1"
299,"1"
301,"2"
302,"1"
303,"1"
307,"1"
311,"1"
315,"3"
317,"2"
318,"1"
319,"1"
322,"1"
323,"2"
324,"1"
334,"2"
335,"1"
336,"1"
337,"1"
339,"1"
340,"1"
343,"1"
349,"1"
358,"1"
360,"2"
364,"1"
365,"1"
369,"1"
371,"1"
372,"1"
377,"1"
378,"1"
379,"1"
384,"1"
387,"1"
392,"1"
393,"1"
400,"2"
401,"1"
402,"1"
407,"1"
414,"1"
415,"1"
419,"1"
421,"1"
424,"1"
431,"2"
439,"2"
447,"2"
448,"1"
464,"1"
475,"1"
479,"1"
488,"1"
503,"1"
511,"1"
538,"1"
543,"1"
567,"1"
572,"1"
580,"1"
611,"1"
612,"1"
654,"1"
660,"1"
664,"2"
680,"1"
705,"1"
711,"1"
747,"1"
794,"1"
836,"1"
942,"1"
1078,"1"
1120,"1"
1330,"1"
1793,"1"
